m,trades,wins,net,best,worst,win%,cum
2021-10,1088,251,-276.8320000000056,6.6599999999999,-3.620000000000073,23.1,-276.8320000000056
2021-11,1152,286,-287.1600000000059,19.554000000000133,-3.735000000000082,24.8,-563.9920000000116
2021-12,1106,243,-251.49799999999885,15.14999999999991,-3.5830000000000384,22.0,-815.4900000000105
2022-01,1047,249,-247.42599999999436,12.419999999999892,-4.799999999999909,23.8,-1062.9160000000047
2022-02,1054,282,-194.26100000000045,15.896000000000004,-5.789999999999918,26.8,-1257.1770000000051
2022-03,1243,403,-269.2300000000026,14.998999999999842,-7.058999999999924,32.4,-1526.4070000000077
2022-04,993,259,-243.76299999999497,9.99600000000014,-3.4400000000000093,26.1,-1770.1700000000026
2022-05,1214,303,-325.8539999999987,11.8,-6.2,25.0,-2096.0240000000013
2022-06,1173,264,-353.4469999999979,15.237000000000126,-4.499000000000206,22.5,-2449.470999999999
2022-07,1120,284,-253.85499999999885,18.585000000000083,-5.084000000000015,25.4,-2703.3259999999977
2022-08,1153,287,-284.0710000000011,8.35899999999997,-9.426000000000112,24.9,-2987.396999999999
2022-09,1076,274,-259.5470000000004,12.160000000000128,-13.404999999999927,25.5,-3246.9439999999995
2022-10,1151,293,-285.06999999999965,13.086999999999808,-6.190999999999986,25.5,-3532.013999999999
2022-11,1081,282,-238.5799999999985,20.990000000000055,-8.630000000000063,26.1,-3770.593999999998
2022-12,1079,255,-219.53800000000186,17.05,-8.941999999999961,23.6,-3990.1319999999996
2023-01,1041,296,-133.85899999999828,8.210000000000083,-4.209000000000015,28.4,-4123.990999999998
2023-02,900,223,-222.8879999999999,22.240000000000055,-9.189000000000032,24.8,-4346.878999999998
2023-03,880,239,-58.66599999999969,18.663000000000057,-8.426999999999861,27.2,-4405.544999999997
2023-04,735,186,-149.61199999999982,25.926999999999953,-16.44000000000001,25.3,-4555.156999999997
2023-05,840,197,-174.27300000000264,28.24100000000003,-16.95999999999999,23.5,-4729.43
2023-06,849,152,-227.8970000000027,14.410000000000128,-7.580000000000109,17.9,-4957.327000000003
2023-07,790,164,-237.17000000000075,9.839999999999964,-18.400000000000045,20.8,-5194.497000000004
2023-08,1296,248,-379.02399999999824,8.590000000000192,-5.5900000000001,19.1,-5573.5210000000025
2023-09,1050,224,-229.67799999999693,7.790000000000009,-3.0700000000001184,21.3,-5803.199
2023-10,1139,292,-174.45199999999707,16.089999999999964,-3.989999999999964,25.6,-5977.650999999997
2023-11,1158,238,-300.99800000000124,10.350000000000183,-3.3699999999998456,20.6,-6278.6489999999985
2023-12,1055,274,-171.16900000000416,22.319999999999755,-3.489999999999964,26.0,-6449.818000000003
2024-01,1163,301,-198.26800000000327,10.150000000000137,-2.6800000000000184,25.9,-6648.086000000007
2024-02,1057,239,-230.3280000000001,11.622999999999866,-6.6700000000000275,22.6,-6878.414000000007
2024-03,1024,278,-126.8269999999973,18.78000000000002,-5.176999999999862,27.1,-7005.2410000000045
2024-04,1152,394,-101.77999999999827,19.7069999999997,-9.95,34.2,-7107.0210000000025
2024-05,1213,339,-343.58899999999227,12.68000000000011,-14.58700000000017,27.9,-7450.609999999995
2024-06,1044,276,-221.23699999999988,21.810999999999968,-4.290000000000146,26.4,-7671.846999999995
2024-07,1213,348,-248.97499999999724,13.540000000000237,-5.096999999999935,28.7,-7920.821999999993
2024-08,1132,362,-147.42699999999502,18.16999999999989,-4.040000000000146,32.0,-8068.248999999988
2024-09,1120,294,-278.47599999999784,11.88699999999999,-5.8109999999998765,26.2,-8346.724999999986
2024-10,1166,331,-338.0390000000054,10.977000000000135,-8.433000000000174,28.4,-8684.763999999992
2024-11,1056,339,-79.71999999999677,33.89000000000014,-10.502999999999883,32.1,-8764.48399999999
2024-12,1082,328,-243.53900000000874,26.572999999999684,-15.250000000000181,30.3,-9008.022999999997
2025-01,1178,345,-305.01899999999256,11.25699999999988,-8.853000000000247,29.3,-9313.04199999999
2025-02,1032,356,-137.44099999999423,12.640000000000146,-4.45,34.5,-9450.482999999984
2025-03,1097,346,-203.817999999996,15.423000000000048,-5.9800000000002,31.5,-9654.30099999998
2025-04,1089,533,-230.8010000000025,25.546999999999844,-61.439999999999785,48.9,-9885.101999999983
2025-05,1206,525,-299.100999999993,20.650000000000365,-8.886999999999897,43.5,-10184.202999999976
2025-06,1170,454,-268.5679999999952,22.729999999999837,-11.020000000000163,38.8,-10452.770999999972
2025-07,1206,385,-382.5910000000046,17.880999999999677,-7.2300000000002,31.9,-10835.361999999976
2025-08,1065,304,-332.99000000000115,24.920000000000346,-4.796000000000004,28.5,-11168.351999999977
2025-09,1131,428,-240.0630000000071,25.339999999999964,-7.1699999999998,37.8,-11408.414999999985
2025-10,1171,636,-29.9669999999962,53.129999999999924,-28.509999999999945,54.3,-11438.381999999981
2025-11,1043,526,-145.64899999999773,36.399999999999906,-7.980000000000655,50.4,-11584.030999999979
2025-12,1172,548,-138.58700000000172,27.760000000000037,-17.25000000000018,46.8,-11722.61799999998
2026-03,758,522,425.47000000000696,78.6199999999997,-21.489999999999963,68.9,-11297.147999999974
2026-04,1181,661,-223.25000000001384,31.280000000000474,-13.090000000000327,56.0,-11520.397999999988
2026-05,1066,576,-153.63999999998143,50.36000000000131,-16.849999999999635,54.0,-11674.03799999997
2026-06,1151,628,-111.4100000000328,78.13999999999923,-16.070000000006257,54.6,-11785.448000000002
2026-07,1191,603,-103.91500000000516,49.540000000000234,-11.899999999999817,50.6,-11889.363000000007
2026-08,1057,565,-33.55000000001875,56.57999999999974,-14.269999999999708,53.5,-11922.913000000026
2026-09,450,267,66.19999999999708,23.56000000000022,-8.750000000000181,59.3,-11856.713000000029
