m,trades,wins,net,win%,cum,yr
2021-10,35,15,-57.0,42.9,-57.0,2021
2021-11,44,25,51.2,56.8,-5.8,2021
2021-12,33,15,-36.6,45.5,-42.4,2021
2022-01,29,16,24.2,55.2,-18.2,2022
2022-02,60,30,-12.0,50.0,-30.2,2022
2022-03,149,76,0.2,51.0,-30.0,2022
2022-04,55,25,-61.0,45.5,-91.0,2022
2022-05,54,31,69.2,57.4,-21.8,2022
2022-06,55,25,-61.0,45.5,-82.8,2022
2022-07,49,26,20.2,53.1,-62.6,2022
2022-08,36,22,72.8,61.1,10.2,2022
2022-09,55,27,-21.0,49.1,-10.8,2022
2022-10,49,25,0.2,51.0,-10.6,2022
2022-11,54,25,-50.8,46.3,-61.4,2022
2022-12,38,23,72.4,60.5,11.0,2022
2023-01,48,25,10.4,52.1,21.4,2023
2023-02,42,18,-68.4,42.9,-47.0,2023
2023-03,68,39,86.4,57.4,39.4,2023
2023-04,63,27,-102.6,42.9,-63.2,2023
2023-05,53,26,-20.6,49.1,-83.8,2023
2023-06,34,17,-6.8,50.0,-90.6,2023
2023-07,23,12,5.4,52.2,-85.2,2023
2023-08,27,13,-15.4,48.1,-100.6,2023
2023-09,20,13,56.0,65.0,-44.6,2023
2023-10,46,26,50.8,56.5,6.2,2023
2023-11,36,18,-7.2,50.0,-1.0,2023
2023-12,54,35,149.2,64.8,148.2,2023
2024-01,57,24,-101.4,42.1,46.8,2024
2024-02,25,11,-35.0,44.0,11.8,2024
2024-03,61,36,97.8,59.0,109.6,2024
2024-04,156,75,-91.2,48.1,18.4,2024
2024-05,99,57,130.2,57.6,148.6,2024
2024-06,63,36,77.4,57.1,226.0,2024
2024-07,101,53,29.8,52.5,255.8,2024
2024-08,105,53,-11.0,50.5,244.8,2024
2024-09,83,37,-106.6,44.6,138.2,2024
2024-10,91,37,-188.2,40.7,-50.0,2024
2024-11,120,68,136.0,56.7,86.0,2024
2024-12,75,35,-65.0,46.7,21.0,2024
2025-01,68,37,46.4,54.4,67.4,2025
2025-02,123,57,-114.6,46.3,-47.2,2025
2025-03,109,51,-91.8,46.8,-139.0,2025
2025-04,443,233,141.4,52.6,2.4,2025
2025-05,322,182,355.6,56.5,358.0,2025
2025-06,219,115,66.2,52.5,424.2,2025
2025-07,125,65,25.0,52.0,449.2,2025
2025-08,115,49,-193.0,42.6,256.2,2025
2025-09,199,108,130.2,54.3,386.4,2025
2025-10,725,357,-255.0,49.2,131.4,2025
2025-11,405,196,-211.0,48.4,-79.6,2025
2025-12,377,182,-205.4,48.3,-285.0,2025
2026-03,854,446,209.2,52.2,-75.8,2026
2026-04,672,344,25.6,51.2,-50.2,2026
2026-05,549,278,-39.8,50.6,-90.0,2026
2026-06,632,327,93.6,51.7,3.6,2026
2026-07,459,230,-81.8,50.1,-78.2,2026
2026-08,523,284,345.4,54.3,267.2,2026
2026-09,230,113,-86.0,49.1,181.2,2026
