m,trades,wins,net,win%,cum,yr
2021-10,1088,238,-278.46,21.9,-278.5,2021
2021-11,1152,263,-296.12,22.8,-574.6,2021
2021-12,1106,230,-270.43,20.8,-845.0,2021
2022-01,1047,235,-261.68,22.4,-1106.7,2022
2022-02,1054,263,-177.95,25.0,-1284.6,2022
2022-03,1243,330,-309.31,26.5,-1593.9,2022
2022-04,993,228,-291.69,23.0,-1885.6,2022
2022-05,1214,279,-335.64,23.0,-2221.3,2022
2022-06,1173,248,-353.32,21.1,-2574.6,2022
2022-07,1120,263,-262.12,23.5,-2836.7,2022
2022-08,1153,267,-292.67,23.2,-3129.4,2022
2022-09,1076,249,-280.27,23.1,-3409.7,2022
2022-10,1151,268,-304.9,23.3,-3714.6,2022
2022-11,1081,272,-186.12,25.2,-3900.7,2022
2022-12,1079,247,-197.25,22.9,-4097.9,2022
2023-01,1041,276,-135.43,26.5,-4233.4,2023
2023-02,900,197,-263.99,21.9,-4497.3,2023
2023-03,880,218,-76.99,24.8,-4574.3,2023
2023-04,735,170,-141.02,23.1,-4715.4,2023
2023-05,840,185,-158.88,22.0,-4874.2,2023
2023-06,849,143,-230.06,16.8,-5104.3,2023
2023-07,790,161,-241.7,20.4,-5346.0,2023
2023-08,1296,235,-385.14,18.1,-5731.1,2023
2023-09,1050,220,-213.95,21.0,-5945.1,2023
2023-10,1139,277,-204.12,24.3,-6149.2,2023
2023-11,1158,227,-307.53,19.6,-6456.7,2023
2023-12,1055,256,-167.08,24.3,-6623.8,2023
2024-01,1163,286,-192.26,24.6,-6816.1,2024
2024-02,1057,230,-235.75,21.8,-7051.8,2024
2024-03,1024,261,-98.97,25.5,-7150.8,2024
2024-04,1151,321,-158.8,27.9,-7309.6,2024
2024-05,1214,289,-383.04,23.8,-7692.6,2024
2024-06,1044,241,-219.7,23.1,-7912.3,2024
2024-07,1213,301,-222.73,24.8,-8135.1,2024
2024-08,1132,308,-191.92,27.2,-8327.0,2024
2024-09,1120,249,-292.13,22.2,-8619.1,2024
2024-10,1166,285,-344.26,24.4,-8963.4,2024
2024-11,1056,277,-147.83,26.2,-9111.2,2024
2024-12,1082,286,-222.64,26.4,-9333.8,2024
2025-01,1178,291,-357.87,24.7,-9691.7,2025
2025-02,1032,284,-94.49,27.5,-9786.2,2025
2025-03,1097,267,-242.69,24.3,-10028.9,2025
2025-04,1089,365,-366.36,33.5,-10395.2,2025
2025-05,1206,360,-419.71,29.9,-10815.0,2025
2025-06,1170,334,-316.05,28.5,-11131.0,2025
2025-07,1206,298,-360.16,24.7,-11491.2,2025
2025-08,1065,249,-320.5,23.4,-11811.7,2025
2025-09,1131,336,-204.58,29.7,-12016.2,2025
2025-10,1171,443,-126.76,37.8,-12143.0,2025
2025-11,1043,353,-218.88,33.8,-12361.9,2025
2025-12,1172,365,-207.79,31.1,-12569.7,2025
2026-03,759,389,218.47,51.3,-12351.2,2026
2026-04,1182,431,-608.6,36.5,-12959.8,2026
2026-05,1066,386,-410.66,36.2,-13370.5,2026
2026-06,1150,435,-319.56,37.8,-13690.0,2026
2026-07,1192,411,-194.14,34.5,-13884.2,2026
2026-08,1057,412,-100.23,39.0,-13984.4,2026
2026-09,450,182,1.51,40.4,-13982.9,2026
