m,trades,wins,net,best,worst,win%,cum
2021-01,6,3,-4.05,1.8,-3.2,50.0,-4.05
2021-02,9,6,10.65,6.447000000000162,-1.7799999999999272,66.7,6.6
2021-03,7,3,-6.89,1.8,-3.2,42.9,-0.29
2021-04,4,4,8.1,3.693000000000029,1.100000000000182,100.0,7.81
2021-05,3,1,-4.63,0.32300000000013823,-3.2,33.3,3.18
2021-06,3,2,-1.37,1.0559999999998582,-3.2,66.7,1.81
2021-07,5,4,6.59,4.220000000000073,-1.036999999999989,80.0,8.4
2021-08,3,3,2.59,1.460000000000082,0.5299999999997909,100.0,10.99
2021-09,4,2,-2.8,1.8,-3.2,50.0,8.19
2021-10,3,3,5.19,1.8,1.6430000000000746,100.0,13.38
2021-11,4,4,3.1,1.0400000000000091,0.6040000000000874,100.0,16.48
2021-12,3,2,2.51,1.8,-0.48999999999996363,66.7,18.99
2022-01,2,1,-0.19,0.559999999999991,-0.7510000000001582,50.0,18.8
2022-02,4,4,13.41,9.501000000000023,0.3099999999999909,100.0,32.21
2022-03,19,13,1.14,1.8,-3.2,68.4,33.35
2022-04,1,0,-2.91,-2.909999999999809,-2.909999999999809,0.0,30.44
2022-05,5,4,1.51,1.8,-2.002000000000135,80.0,31.95
2022-06,7,5,5.72,3.52199999999998,-3.2,71.4,37.67
2022-07,3,2,0.26,1.4839999999999691,-2.00600000000004,66.7,37.93
2022-09,6,3,3.47,4.9520000000000435,-2.9200000000000275,50.0,41.4
2022-10,5,2,9.24,13.086999999999808,-3.2,40.0,50.64
2022-11,5,3,-2.07,1.8,-3.2,60.0,48.57
2022-12,3,2,6.47,7.872999999999865,-3.2,66.7,55.04
2023-01,4,1,-4.06,1.62100000000014,-3.2,25.0,50.98
2023-02,4,2,1.99,2.1569999999999707,-1.29699999999998,50.0,52.97
2023-03,17,6,-14.1,9.11899999999996,-3.2,35.3,38.87
2023-04,5,3,0.92,1.8,-1.9899999999999636,60.0,39.79
2023-05,7,4,3.01,1.8,-1.2499999999999545,57.1,42.8
2023-06,3,2,9.77,9.420000000000119,-0.29699999999998,66.7,52.57
2023-07,2,0,-2.34,-0.8500000000000909,-1.4929999999998926,0.0,50.23
2023-08,2,0,-2.71,-0.3870000000001255,-2.319999999999891,0.0,47.52
2023-09,3,1,-2.46,1.1600000000001274,-3.2,33.3,45.06
2023-10,4,2,-2.8,1.8,-3.2,50.0,42.26
2023-11,3,2,3.08,2.5999999999999543,-0.8410000000000764,66.7,45.34
2023-12,3,3,3.31,1.8,0.5200000000000273,100.0,48.65
2024-02,1,1,1.8,1.8,1.8,100.0,50.45
2024-03,5,3,-1.46,1.6389999999999418,-3.2,60.0,48.99
2024-04,16,11,18.02,19.7069999999997,-3.2,68.8,67.01
2024-06,4,3,3.4,3.0000000000002727,-3.2,75.0,70.41
2024-07,4,2,-5.15,0.743000000000211,-3.2,50.0,65.26
2024-08,6,5,11.24,8.849999999999728,-3.2,83.3,76.5
2024-09,2,2,2.77,1.6229999999998654,1.1469999999997527,100.0,79.27
2024-10,2,1,-2.47,0.7339999999997417,-3.2,50.0,76.8
2024-11,2,2,3.07,1.8,1.2700000000002547,100.0,79.87
2024-12,4,2,-3.68,1.8,-3.2,50.0,76.19
2025-01,1,0,-3.2,-3.2,-3.2,0.0,72.99
2025-02,1,0,-3.2,-3.2,-3.2,0.0,69.79
2025-03,1,0,-2.55,-2.5499999999999092,-2.5499999999999092,0.0,67.24
2025-04,36,24,31.03,25.546999999999844,-3.2,66.7,98.27
2025-05,14,7,-12.77,1.8,-3.2,50.0,85.5
2025-06,10,7,1.51,1.8,-3.2,70.0,87.01
2025-07,3,2,-0.91,1.5760000000002947,-3.2,66.7,86.1
2025-08,1,1,24.92,24.920000000000346,24.920000000000346,100.0,111.02
2025-09,7,3,-8.48,1.8,-3.2,42.9,102.54
