m,trades,wins,net,win%,cum
2021-10,2,2,2.64,100.0,2.6
2021-11,2,2,2.59,100.0,5.2
2021-12,1,1,1.2,100.0,6.4
2022-01,3,2,-1.21,66.7,5.2
2022-02,7,4,7.31,57.1,12.5
2022-03,31,18,-3.56,58.1,9.0
2022-04,4,1,-7.43,25.0,1.5
2022-05,6,4,0.48,66.7,2.0
2022-06,6,4,2.16,66.7,4.2
2022-07,5,3,23.52,60.0,27.7
2022-08,2,1,-2.15,50.0,25.6
2022-09,2,2,5.4,100.0,31.0
2022-10,4,3,11.85,75.0,42.8
2022-11,2,1,-1.53,50.0,41.3
2022-12,3,1,-4.12,33.3,37.2
2023-01,2,0,-2.42,0.0,34.7
2023-02,2,1,-1.58,50.0,33.2
2023-03,13,7,4.01,53.8,37.2
2023-04,3,2,10.22,66.7,47.4
2023-05,7,4,0.87,57.1,48.3
2023-06,1,1,8.41,100.0,56.7
2023-07,2,0,-5.47,0.0,51.2
2023-09,1,0,-3.07,0.0,48.1
2023-10,5,3,-1.26,60.0,46.9
2023-11,1,1,1.32,100.0,48.2
2023-12,5,4,2.2,80.0,50.4
2024-01,3,2,-0.17,66.7,50.2
2024-02,1,0,-2.28,0.0,47.9
2024-03,4,2,-5.13,50.0,42.8
2024-04,30,16,-3.53,53.3,39.3
2024-05,13,4,-21.11,30.8,18.2
2024-06,11,8,9.05,72.7,27.2
2024-07,11,5,-10.86,45.5,16.4
2024-08,14,8,-8.52,57.1,7.8
2024-09,14,9,1.01,64.3,8.8
2024-10,10,5,-7.16,50.0,1.7
2024-11,10,7,6.94,70.0,8.6
2024-12,8,6,-2.28,75.0,6.4
2025-01,5,2,-1.31,40.0,5.0
2025-02,16,8,-6.21,50.0,-1.2
2025-03,16,7,-14.25,43.8,-15.4
2025-04,136,91,28.51,66.9,13.1
2025-05,112,64,-69.62,57.1,-56.5
2025-06,49,28,-9.16,57.1,-65.7
2025-07,21,12,-5.19,57.1,-70.9
2025-08,15,12,28.84,80.0,-42.0
2025-09,59,37,-0.54,62.7,-42.6
2025-10,182,129,105.1,70.9,62.5
2025-11,145,95,0.72,65.5,63.2
2025-12,126,89,55.39,70.6,118.6
2026-03,175,143,282.78,81.7,401.4
2026-04,213,139,-90.34,65.3,311.1
2026-05,197,138,30.78,70.1,341.8
2026-06,197,127,-43.1,64.5,298.7
2026-07,162,101,15.17,62.3,313.9
2026-08,187,135,100.31,72.2,414.2
2026-09,76,52,-1.55,68.4,412.7
