entry_time,exit_time,side,entry,exit,pnl,bars,reason
2021-01-06 10:00:00,2021-01-06 10:02:00,-1,1930.438,1933.438,-3.2,2,sl
2021-01-08 08:35:00,2021-01-08 08:38:00,-1,1881.308,1880.478,0.6299999999999273,3,trail
2021-01-08 12:26:00,2021-01-08 12:28:00,-1,1847.348,1845.348,1.8,2,trail
2021-01-11 10:51:00,2021-01-11 11:02:00,1,1849.865,1848.185,-1.8800000000000636,11,reverse
2021-01-27 14:00:00,2021-01-27 14:04:00,1,1848.325,1845.325,-3.2,4,sl
2021-01-29 06:27:00,2021-01-29 06:51:00,1,1858.595,1860.595,1.8,24,trail
2021-02-10 08:30:00,2021-02-10 08:50:00,1,1846.158,1852.805,6.447000000000162,20,reverse
2021-02-10 10:21:00,2021-02-10 10:25:00,-1,1839.915,1838.756,0.9589999999998782,4,trail
2021-02-16 08:21:00,2021-02-16 08:26:00,-1,1807.158,1805.485,1.4730000000000019,5,trail
2021-02-16 08:55:00,2021-02-16 09:07:00,-1,1798.147,1796.147,1.8,12,trail
2021-02-18 08:05:00,2021-02-18 08:09:00,1,1785.905,1787.905,1.8,4,trail
2021-02-22 21:30:00,2021-02-22 21:49:00,1,1813.535,1813.666,-0.06900000000014189,19,reverse
2021-02-24 06:23:00,2021-02-24 06:43:00,1,1809.005,1808.555,-0.6500000000000454,20,reverse
2021-02-24 09:50:00,2021-02-24 10:01:00,-1,1785.355,1786.935,-1.7799999999999272,11,reverse
2021-02-25 11:53:00,2021-02-25 11:57:00,1,1780.565,1781.431,0.6659999999999855,4,trail
2021-03-03 09:20:00,2021-03-03 09:21:00,-1,1708.632,1711.632,-3.2,1,sl
2021-03-04 12:11:00,2021-03-04 12:14:00,-1,1712.941,1712.021,0.7200000000000728,3,trail
2021-03-04 13:33:00,2021-03-04 13:38:00,-1,1697.345,1700.345,-3.2,5,sl
2021-03-07 18:00:00,2021-03-07 18:04:00,1,1705.048,1707.048,1.8,4,trail
2021-03-09 13:02:00,2021-03-09 13:08:00,1,1718.728,1717.245,-1.6830000000001746,6,reverse
2021-03-12 16:49:00,2021-03-12 16:57:00,1,1726.774,1727.658,0.6840000000000146,8,trail
2021-03-16 12:04:00,2021-03-16 12:15:00,1,1732.645,1730.835,-2.0099999999999456,11,reverse
2021-04-13 08:11:00,2021-04-13 08:23:00,1,1730.845,1732.555,1.5100000000000364,12,trail
2021-04-13 09:02:00,2021-04-13 09:16:00,1,1739.985,1741.285,1.100000000000182,14,trail
2021-04-26 08:11:00,2021-04-26 08:37:00,-1,1774.858,1770.965,3.693000000000029,26,reverse
2021-04-28 14:35:00,2021-04-28 14:38:00,1,1778.188,1780.188,1.8,3,trail
2021-05-03 09:01:00,2021-05-03 09:09:00,1,1787.458,1785.908,-1.7500000000001819,8,reverse
2021-05-04 09:44:00,2021-05-04 09:54:00,1,1792.205,1792.728,0.32300000000013823,10,trail
2021-05-07 10:23:00,2021-05-07 10:27:00,1,1841.538,1838.538,-3.2,4,sl
2021-06-04 08:30:00,2021-06-04 08:33:00,1,1878.998,1880.254,1.0559999999998582,3,trail
2021-06-14 00:01:00,2021-06-14 00:05:00,-1,1862.568,1861.594,0.7739999999999327,4,trail
2021-06-16 14:36:00,2021-06-16 14:37:00,-1,1836.788,1839.788,-3.2,1,sl
2021-07-06 00:00:00,2021-07-06 00:18:00,1,1799.225,1798.388,-1.036999999999989,18,reverse
2021-07-07 14:01:00,2021-07-07 14:05:00,1,1805.208,1806.528,1.1199999999999364,4,trail
2021-07-13 08:39:00,2021-07-13 08:42:00,1,1812.718,1814.718,1.8,3,trail
2021-07-14 08:02:00,2021-07-14 08:24:00,1,1819.548,1823.968,4.220000000000073,22,reverse
2021-07-26 03:24:00,2021-07-26 03:46:00,1,1809.458,1810.147,0.48899999999985083,22,reverse
2021-08-03 09:39:00,2021-08-03 09:52:00,1,1812.678,1813.408,0.5299999999997909,13,trail
2021-08-04 08:15:00,2021-08-04 08:19:00,1,1822.898,1823.698,0.6000000000001819,4,trail
2021-08-27 08:34:00,2021-08-27 08:58:00,1,1797.425,1799.085,1.460000000000082,24,trail
2021-09-03 08:30:00,2021-09-03 08:34:00,1,1822.498,1824.498,1.8,4,trail
2021-09-03 08:46:00,2021-09-03 08:51:00,1,1824.414,1821.414,-3.2,5,sl
2021-09-27 08:21:00,2021-09-27 08:30:00,1,1751.592,1748.592,-3.2,9,sl
2021-09-30 09:50:00,2021-09-30 10:02:00,1,1741.048,1743.048,1.8,12,trail
2021-10-04 08:34:00,2021-10-04 08:51:00,1,1754.425,1756.425,1.8,17,trail
2021-10-08 08:30:00,2021-10-08 08:31:00,1,1767.725,1769.568,1.6430000000000746,1,trail
2021-10-27 08:10:00,2021-10-27 08:22:00,1,1792.544,1794.494,1.7499999999998181,12,trail
2021-11-03 09:00:00,2021-11-03 09:14:00,-1,1764.578,1763.338,1.0400000000000091,14,trail
2021-11-10 08:33:00,2021-11-10 08:34:00,1,1837.122,1838.108,0.7859999999998764,1,trail
2021-11-10 13:02:00,2021-11-10 13:07:00,-1,1846.248,1845.444,0.6040000000000874,5,trail
2021-11-12 10:19:00,2021-11-12 10:27:00,1,1863.508,1864.378,0.6699999999998909,8,trail
2021-12-02 07:37:00,2021-12-02 07:56:00,1,1779.848,1779.558,-0.48999999999996363,19,reverse
2021-12-03 08:46:00,2021-12-03 08:53:00,-1,1769.208,1767.811,1.197000000000162,7,trail
2021-12-15 14:00:00,2021-12-15 14:01:00,-1,1757.478,1755.478,1.8,1,trail
2022-01-25 08:21:00,2022-01-25 08:36:00,1,1841.209,1840.658,-0.7510000000001582,15,reverse
2022-01-26 14:03:00,2022-01-26 14:04:00,-1,1827.158,1826.398,0.559999999999991,1,trail
2022-02-10 12:45:00,2022-02-10 12:49:00,-1,1834.948,1834.438,0.3099999999999909,4,trail
2022-02-20 18:00:00,2022-02-20 18:05:00,1,1900.598,1902.598,1.8,5,trail
2022-02-24 10:13:00,2022-02-24 10:32:00,-1,1934.208,1924.507,9.501000000000023,19,reverse
2022-02-24 11:11:00,2022-02-24 11:24:00,-1,1924.908,1922.908,1.8,13,trail
2022-03-01 04:40:00,2022-03-01 04:48:00,1,1917.698,1915.578,-2.3200000000001184,8,reverse
2022-03-02 10:28:00,2022-03-02 10:30:00,1,1933.867,1930.867,-3.2,2,sl
2022-03-06 18:53:00,2022-03-06 19:02:00,1,1989.748,1987.488,-2.459999999999991,9,reverse
2022-03-07 10:36:00,2022-03-07 10:38:00,1,1986.248,1988.248,1.8,2,trail
2022-03-08 02:34:00,2022-03-08 02:42:00,1,2018.788,2019.328,0.3399999999999636,8,trail
2022-03-08 09:28:00,2022-03-08 09:38:00,1,2017.508,2019.002,1.2939999999999146,10,trail
2022-03-08 10:18:00,2022-03-08 10:19:00,1,2048.688,2049.878,0.9900000000000546,1,trail
2022-03-08 11:55:00,2022-03-08 11:58:00,1,2065.768,2067.768,1.8,3,trail
2022-03-09 11:09:00,2022-03-09 11:18:00,1,1997.858,1999.858,1.8,9,trail
2022-03-09 13:38:00,2022-03-09 13:43:00,-1,1982.012,1985.012,-3.2,5,sl
2022-03-10 05:56:00,2022-03-10 06:03:00,1,1998.308,2000.308,1.8,7,trail
2022-03-11 05:54:00,2022-03-11 05:59:00,1,1993.838,1991.428,-2.6099999999998547,5,reverse
2022-03-11 06:23:00,2022-03-11 06:27:00,-1,1985.228,1983.228,1.8,4,trail
2022-03-11 11:42:00,2022-03-11 11:43:00,1,1986.412,1987.408,0.7959999999998673,1,trail
2022-03-15 10:54:00,2022-03-15 11:01:00,1,1921.463,1923.463,1.8,7,trail
2022-03-15 11:41:00,2022-03-15 11:53:00,1,1927.798,1929.403,1.4050000000000182,12,trail
2022-03-17 08:35:00,2022-03-17 08:43:00,1,1944.694,1941.694,-3.2,8,sl
2022-03-21 13:57:00,2022-03-21 13:58:00,1,1938.759,1939.668,0.7089999999998782,1,trail
2022-03-30 08:12:00,2022-03-30 08:20:00,1,1925.883,1927.883,1.8,8,trail
2022-04-07 07:08:00,2022-04-07 07:10:00,-1,1924.342,1927.052,-2.909999999999809,2,reverse
2022-05-05 10:24:00,2022-05-05 10:35:00,-1,1888.902,1886.902,1.8,11,trail
2022-05-09 08:05:00,2022-05-09 08:09:00,1,1862.613,1863.203,0.38999999999991813,4,trail
2022-05-11 03:10:00,2022-05-11 03:13:00,1,1847.118,1848.328,1.0100000000000364,3,trail
2022-05-11 08:30:00,2022-05-11 08:32:00,-1,1844.848,1844.338,0.3099999999999909,2,trail
2022-05-18 09:42:00,2022-05-18 09:48:00,1,1814.968,1813.166,-2.002000000000135,6,reverse
2022-06-10 09:03:00,2022-06-10 09:08:00,1,1843.438,1840.438,-3.2,5,sl
2022-06-10 09:39:00,2022-06-10 09:55:00,-1,1830.254,1831.804,-1.7500000000001819,16,reverse
2022-06-13 18:02:00,2022-06-13 18:03:00,-1,1812.338,1810.653,1.4849999999999455,1,trail
2022-06-15 14:37:00,2022-06-15 14:53:00,1,1825.858,1829.198,3.1400000000001453,16,reverse
2022-06-16 08:30:00,2022-06-16 08:48:00,1,1825.536,1829.258,3.52199999999998,18,reverse
2022-06-23 09:45:00,2022-06-23 09:48:00,1,1840.363,1841.283,0.7199999999998454,3,trail
2022-06-26 18:00:00,2022-06-26 18:01:00,1,1835.808,1837.808,1.8,1,trail
2022-07-21 10:31:00,2022-07-21 10:49:00,1,1706.484,1708.168,1.4839999999999691,18,trail
2022-07-22 10:11:00,2022-07-22 10:16:00,1,1737.944,1736.138,-2.00600000000004,5,reverse
2022-07-25 05:56:00,2022-07-25 05:58:00,1,1733.528,1734.506,0.7780000000000655,2,trail
2022-09-22 08:26:00,2022-09-22 08:32:00,1,1674.915,1673.378,-1.7370000000000345,6,reverse
2022-09-26 09:33:00,2022-09-26 09:37:00,1,1647.465,1644.745,-2.9200000000000275,4,reverse
2022-09-26 21:32:00,2022-09-26 21:41:00,1,1632.548,1630.945,-1.8030000000000654,9,reverse
2022-09-28 09:15:00,2022-09-28 09:39:00,1,1638.248,1643.4,4.9520000000000435,24,reverse
2022-09-28 09:44:00,2022-09-28 10:14:00,1,1646.063,1650.898,4.634999999999809,30,reverse
2022-09-29 05:28:00,2022-09-29 05:47:00,1,1649.066,1649.605,0.33899999999998726,19,trail
2022-10-03 10:00:00,2022-10-03 10:42:00,1,1673.448,1686.735,13.086999999999808,42,reverse
2022-10-12 09:37:00,2022-10-12 09:52:00,1,1671.311,1670.955,-0.5559999999999945,15,reverse
2022-10-13 09:05:00,2022-10-13 09:08:00,-1,1649.145,1652.145,-3.2,3,sl
2022-10-19 09:34:00,2022-10-19 09:42:00,1,1636.358,1634.888,-1.6700000000000272,8,reverse
2022-10-20 00:18:00,2022-10-20 00:20:00,1,1628.118,1629.898,1.5799999999999728,2,trail
2022-11-09 09:40:00,2022-11-09 09:46:00,1,1712.928,1714.708,1.5799999999999728,6,trail
2022-11-10 09:43:00,2022-11-10 09:46:00,1,1741.248,1742.398,0.9499999999998636,3,trail
