entry_time,exit_time,side,entry,exit,pnl,bars,reason,m
2021-10-08 08:30:00,2021-10-08 08:31:00,1,1767.725,1769.568,1.6430000000000746,1,trail,2021-10
2021-10-18 09:55:00,2021-10-18 10:01:00,1,1766.478,1767.678,1.0000000000000455,6,trail,2021-10
2021-11-05 08:25:00,2021-11-05 08:34:00,1,1797.014,1799.014,1.8,9,trail,2021-11
2021-11-10 08:33:00,2021-11-10 08:34:00,1,1837.122,1838.108,0.7859999999998764,1,trail,2021-11
2021-12-03 08:46:00,2021-12-03 08:53:00,-1,1769.208,1767.811,1.197000000000162,7,trail,2021-12
2022-01-07 08:36:00,2022-01-07 08:41:00,-1,1785.208,1783.995,1.0130000000001929,5,trail,2022-01
2022-01-26 14:03:00,2022-01-26 14:04:00,-1,1827.158,1826.398,0.559999999999991,1,trail,2022-01
2022-01-26 15:14:00,2022-01-26 15:19:00,-1,1816.988,1819.568,-2.7799999999999274,5,reverse,2022-01
2022-02-15 09:41:00,2022-02-15 09:44:00,1,1852.668,1850.268,-2.5999999999998638,3,reverse,2022-02
2022-02-24 00:30:00,2022-02-24 00:33:00,1,1940.458,1941.878,1.2199999999998454,3,trail,2022-02
2022-02-24 06:15:00,2022-02-24 06:19:00,1,1971.858,1970.838,-1.2199999999999818,4,reverse,2022-02
2022-02-24 10:13:00,2022-02-24 10:32:00,-1,1934.208,1924.507,9.501000000000023,19,reverse,2022-02
2022-02-24 11:11:00,2022-02-24 11:24:00,-1,1924.908,1922.908,1.8,13,trail,2022-02
2022-02-27 18:54:00,2022-02-27 19:07:00,1,1909.698,1908.208,-1.690000000000009,13,reverse,2022-02
2022-02-28 09:39:00,2022-02-28 09:44:00,1,1914.648,1915.148,0.3,5,trail,2022-02
2022-03-02 10:28:00,2022-03-02 10:31:00,1,1933.867,1927.008,-7.058999999999924,3,reverse,2022-03
2022-03-02 11:31:00,2022-03-02 11:34:00,-1,1919.388,1918.708,0.4799999999998363,3,trail,2022-03
2022-03-04 10:10:00,2022-03-04 10:16:00,1,1951.378,1953.378,1.8,6,trail,2022-03
