session,date,year,dt,exit_dt,side,R,rpct,entry,spread,gross,cost,net,Rmult,exit,entry_hour
ASIA,2018-01-02 00:00:00+00:00,2018,2018-01-02 07:00:00+00:00,2018-01-02 10:32:00+00:00,1,3.4400000000000546,0.26331545584968435,1309.85,0.33,2.580000000000041,0.42000000000000004,2.160000000000041,0.627906976744188,tp,7
LON,2018-01-02 00:00:00+00:00,2018,2018-01-02 13:21:00+00:00,2018-01-02 19:57:00+00:00,1,4.3599999999999,0.33270098102530254,1312.84,0.345,3.269999999999925,0.435,2.834999999999925,0.6502293577981628,tp,13
NY,2018-01-02 00:00:00+00:00,2018,2018-01-02 18:29:00+00:00,2018-01-02 20:34:00+00:00,1,3.650000000000091,0.2780257846063857,1314.51,0.345,2.737500000000068,0.435,2.302500000000068,0.6308219178082222,tp,18
LON,2018-01-03 00:00:00+00:00,2018,2018-01-03 13:25:00+00:00,2018-01-03 19:06:00+00:00,1,4.4500000000000455,0.33864576800345253,1316.25,0.345,-4.4500000000000455,0.435,-4.885000000000045,-1.097752808988763,sl,13
NY,2018-01-03 00:00:00+00:00,2018,2018-01-03 19:02:00+00:00,2018-01-03 19:07:00+00:00,-1,3.4099999999998545,0.25906205986117803,1313.82,0.35,2.557499999999891,0.44,2.117499999999891,0.6209677419354784,tp,19
ASIA,2018-01-04 00:00:00+00:00,2018,2018-01-04 07:50:00+00:00,2018-01-04 13:21:00+00:00,1,5.240000000000009,0.40066566062713804,1311.18,0.33,3.930000000000007,0.42000000000000004,3.510000000000007,0.669847328244275,tp,7
LON,2018-01-04 00:00:00+00:00,2018,2018-01-04 13:21:00+00:00,2018-01-04 15:47:00+00:00,1,6.180000000000064,0.4710283639104214,1314.51,0.345,4.635000000000048,0.435,4.200000000000048,0.6796116504854377,tp,13
NY,2018-01-04 00:00:00+00:00,2018,2018-01-04 18:03:00+00:00,2018-01-04 22:00:00+00:00,1,10.840000000000146,0.8235526171964772,1319.96,0.345,2.7100000000000364,0.435,2.2750000000000363,0.20987084870848763,time,18
ASIA,2018-01-05 00:00:00+00:00,2018,2018-01-05 07:00:00+00:00,2018-01-05 13:33:00+00:00,-1,3.4500000000000455,0.2610534156905749,1318.56,0.33,-3.4500000000000455,0.42000000000000004,-3.8700000000000454,-1.121739130434781,sl,7
LON,2018-01-05 00:00:00+00:00,2018,2018-01-05 13:30:00+00:00,2018-01-05 14:07:00+00:00,1,3.2999999999999545,0.25045222437877823,1321.45,0.345,-3.2999999999999545,0.435,-3.7349999999999546,-1.1318181818181836,sl,13
ASIA,2018-01-08 00:00:00+00:00,2018,2018-01-08 07:46:00+00:00,2018-01-08 15:59:00+00:00,-1,4.740000000000009,0.35903492321588815,1317.31,0.33,-2.3500000000001364,0.42000000000000004,-2.7700000000001364,-0.584388185654036,time,7
ASIA,2018-01-09 00:00:00+00:00,2018,2018-01-09 08:30:00+00:00,2018-01-09 13:39:00+00:00,-1,4.379999999999882,0.33220255667452037,1315.07,0.33,3.2849999999999113,0.42000000000000004,2.8649999999999114,0.6541095890410933,tp,8
LON,2018-01-09 00:00:00+00:00,2018,2018-01-09 13:35:00+00:00,2018-01-09 19:59:00+00:00,-1,5.399999999999864,0.41046769652166104,1312.7,0.345,-0.8999999999998636,0.435,-1.3349999999998636,-0.24722222222220322,time,13
NY,2018-01-09 00:00:00+00:00,2018,2018-01-09 19:22:00+00:00,2018-01-09 21:59:00+00:00,1,6.400000000000091,0.4878747714397288,1315.36,0.35,-2.759999999999991,0.44,-3.199999999999991,-0.49999999999999145,time,19
ASIA,2018-01-10 00:00:00+00:00,2018,2018-01-10 08:04:00+00:00,2018-01-10 10:12:00+00:00,1,4.259999999999991,0.3250352073787563,1313.63,0.33,3.194999999999993,0.42000000000000004,2.7749999999999932,0.6514084507042252,tp,8
ASIA,2018-01-11 00:00:00+00:00,2018,2018-01-11 07:40:00+00:00,2018-01-11 13:08:00+00:00,-1,4.210000000000036,0.3193507192787101,1316.41,0.33,-4.210000000000036,0.42000000000000004,-4.630000000000036,-1.0997624703087878,sl,7
