date,side,entry_time,entry_price,exit_time,exit_price,exit_reason,asia_range,asia_high,asia_low,entry_spread,gross,commission,slippage,net,r_multiple,balance,margin_used,duration_min
2024-01-02,1,2024-01-02T07:02:28.014000+00:00,2075.075,2024-01-02T14:42:18.819000+00:00,2062.585,sl,12.476,2074.915,2062.439,0.29,-12.49,0.07,0.02,-12.58,-1.0083,987.42,2.59,459.8
2024-01-03,-1,2024-01-03T08:28:09.702000+00:00,2059.105,2024-01-03T10:22:00.048000+00:00,2053.835,tp,6.74,2066.005,2059.265,0.31,5.27,0.07,0.02,5.18,0.7685,992.6,2.57,113.8
2024-01-04,1,2024-01-04T07:00:00.054000+00:00,2047.465,2024-01-04T13:33:00.113000+00:00,2040.655,sl,6.738,2046.966,2040.229,0.347,-6.81,0.07,0.02,-6.9,-1.024,985.7,2.56,393.0
2024-01-05,-1,2024-01-05T07:00:00.065000+00:00,2042.358,2024-01-05T10:01:11.232000+00:00,2038.525,tp,5.11,2048.32,2043.21,0.337,3.833,0.07,0.02,3.743,0.7325,989.44,2.55,181.2
2024-01-08,-1,2024-01-08T09:19:43.011000+00:00,2026.955,2024-01-08T16:00:00.036000+00:00,2034.405,time,19.562,2046.685,2027.123,0.22,-7.45,0.07,0.02,-7.54,-0.3855,981.9,2.53,400.3
2024-01-09,1,2024-01-09T07:25:02.058000+00:00,2036.105,2024-01-09T13:38:14.272000+00:00,2040.345,tp,5.515,2035.92,2030.405,0.35,4.24,0.07,0.02,4.15,0.7525,986.05,2.55,373.2
2024-01-10,-1,2024-01-10T07:00:00.214000+00:00,2024.435,2024-01-10T07:51:20.023000+00:00,2031.845,sl,7.39,2032.93,2025.54,0.29,-7.41,0.07,0.02,-7.5,-1.0149,978.55,2.53,51.3
2024-01-11,1,2024-01-11T07:10:07.934000+00:00,2034.902,2024-01-11T13:30:00.359000+00:00,2043.496,tp,8.068,2034.738,2026.67,0.267,8.594,0.07,0.02,8.504,1.054,987.06,2.54,379.9
2024-01-12,1,2024-01-12T07:28:39.511000+00:00,2037.415,2024-01-12T10:45:36.172000+00:00,2042.805,tp,7.13,2037.255,2030.125,0.31,5.39,0.07,0.02,5.3,0.7433,992.36,2.55,196.9
2024-01-15,1,2024-01-15T08:42:13.584000+00:00,2058.355,2024-01-15T16:00:00.017000+00:00,2053.108,time,12.285,2058.14,2045.855,0.42,-5.247,0.07,0.02,-5.337,-0.4344,987.02,2.57,437.8
2024-01-16,-1,2024-01-16T08:12:32.036000+00:00,2047.355,2024-01-16T09:05:06.114000+00:00,2042.095,tp,7.002,2054.605,2047.603,0.35,5.26,0.07,0.02,5.17,0.7384,992.19,2.56,52.6
2024-01-17,-1,2024-01-17T07:00:00.048000+00:00,2019.165,2024-01-17T15:29:31.697000+00:00,2008.822,tp,13.603,2032.98,2019.377,0.321,10.343,0.07,0.02,10.253,0.7537,1002.44,2.52,509.5
2024-01-18,1,2024-01-18T07:00:00.104000+00:00,2012.785,2024-01-18T16:00:01.485000+00:00,2013.515,time,6.369,2012.224,2005.855,0.21,0.73,0.07,0.02,0.64,0.1005,1003.08,2.52,540.0
2024-01-19,1,2024-01-19T07:22:59.944000+00:00,2025.825,2024-01-19T08:54:36.713000+00:00,2029.828,tp,5.131,2025.645,2020.514,0.327,4.003,0.07,0.02,3.913,0.7625,1007.0,2.53,91.6
2024-01-22,-1,2024-01-22T07:00:00.106000+00:00,2020.805,2024-01-22T16:00:00.045000+00:00,2024.325,time,10.24,2032.15,2021.91,0.29,-3.52,0.07,0.02,-3.61,-0.3525,1003.39,2.53,540.0
2024-01-23,1,2024-01-23T07:00:00.026000+00:00,2035.405,2024-01-23T11:25:31.242000+00:00,2023.255,sl,12.115,2031.775,2019.66,0.37,-12.15,0.07,0.02,-12.24,-1.0103,991.15,2.54,265.5
2024-01-24,1,2024-01-24T07:39:00.291000+00:00,2029.575,2024-01-24T13:06:01.098000+00:00,2034.535,tp,6.525,2029.4,2022.875,0.34,4.96,0.07,0.02,4.87,0.7464,996.02,2.54,327.0
2024-01-25,-1,2024-01-25T07:08:39.707000+00:00,2014.404,2024-01-25T07:18:16.485000+00:00,2017.162,sl,2.747,2017.36,2014.613,0.281,-2.758,0.07,0.02,-2.848,-1.037,993.17,2.52,9.6
2024-01-26,-1,2024-01-26T09:05:44.020000+00:00,2019.265,2024-01-26T10:56:14.213000+00:00,2024.115,sl,4.85,2024.27,2019.42,0.29,-4.85,0.07,0.02,-4.94,-1.0186,988.23,2.52,110.5
2024-01-29,1,2024-01-29T07:00:00.029000+00:00,2029.096,2024-01-29T13:43:47.734000+00:00,2035.325,tp,8.26,2027.62,2019.36,0.351,6.229,0.07,0.02,6.139,0.7432,994.37,2.54,403.8
2024-01-30,1,2024-01-30T07:00:00.139000+00:00,2034.775,2024-01-30T07:35:05.735000+00:00,2038.365,tp,4.255,2034.175,2029.92,0.35,3.59,0.07,0.02,3.5,0.8226,997.87,2.54,35.1
2024-01-31,1,2024-01-31T07:33:11.049000+00:00,2038.876,2024-01-31T14:10:13.685000+00:00,2043.195,tp,5.747,2038.677,2032.93,0.341,4.319,0.07,0.02,4.229,0.7359,1002.1,2.55,397.0
2024-02-01,-1,2024-02-01T08:15:47.872000+00:00,2039.025,2024-02-01T10:58:07.097000+00:00,2031.195,tp,10.429,2049.649,2039.22,0.32,7.83,0.07,0.02,7.74,0.7422,1009.84,2.55,162.3
2024-02-02,1,2024-02-02T07:24:37.881000+00:00,2057.145,2024-02-02T13:29:29.363000+00:00,2051.888,sl,5.045,2056.995,2051.95,0.29,-5.257,0.07,0.02,-5.347,-1.0599,1004.49,2.57,364.9
2024-02-05,-1,2024-02-05T07:07:30.628000+00:00,2028.818,2024-02-05T13:21:31.735000+00:00,2020.635,tp,10.904,2039.923,2029.019,0.367,8.183,0.07,0.02,8.093,0.7422,1012.58,2.54,374.0
2024-02-06,-1,2024-02-06T08:59:03.871000+00:00,2023.395,2024-02-06T13:06:41.955000+00:00,2029.715,sl,6.32,2029.865,2023.545,0.29,-6.32,0.07,0.02,-6.41,-1.0142,1006.17,2.53,247.6
2024-02-07,1,2024-02-07T07:38:21.463000+00:00,2036.365,2024-02-07T08:17:41.552000+00:00,2033.315,sl,2.88,2036.2,2033.32,0.3,-3.05,0.07,0.02,-3.14,-1.0903,1003.03,2.55,39.3
