entry_time,exit_time,direction,entry,exit,pnl,bars
2025-12-01 01:19,2025-12-01 01:29,SHORT,4230.188,4230.945,-0.957,10
2025-12-01 01:38,2025-12-01 01:41,SHORT,4230.105,4233.005,-3.1,3
2025-12-01 02:10,2025-12-01 02:14,LONG,4237.928,4235.698,-2.43,4
2025-12-01 02:25,2025-12-01 02:45,LONG,4237.338,4240.125,2.587,20
2025-12-01 02:49,2025-12-01 03:28,LONG,4242.245,4250.375,7.93,35
2025-12-01 04:21,2025-12-01 04:36,LONG,4248.895,4248.575,-0.52,15
2025-12-01 04:47,2025-12-01 04:49,LONG,4249.565,4247.265,-2.5,2
2025-12-01 04:59,2025-12-01 05:18,LONG,4249.915,4256.655,6.54,19
2025-12-01 05:45,2025-12-01 06:01,LONG,4254.015,4253.398,-0.817,16
2025-12-01 06:05,2025-12-01 06:06,LONG,4255.555,4254.538,-1.217,1
2025-12-01 06:19,2025-12-01 06:20,LONG,4253.465,4251.735,-1.93,1
2025-12-01 07:01,2025-12-01 07:03,LONG,4255.975,4253.095,-3.08,2
2025-12-01 07:24,2025-12-01 07:27,SHORT,4249.445,4251.795,-2.55,3
2025-12-01 07:44,2025-12-01 08:03,SHORT,4252.125,4250.485,1.44,19
2025-12-01 08:18,2025-12-01 08:22,SHORT,4251.405,4256.705,-5.5,4
2025-12-01 09:21,2025-12-01 09:29,SHORT,4244.355,4246.425,-2.27,8
2025-12-01 09:32,2025-12-01 09:49,SHORT,4240.595,4233.875,6.52,17
2025-12-01 10:11,2025-12-01 10:35,SHORT,4236.075,4226.965,8.91,24
2025-12-01 11:17,2025-12-01 11:24,SHORT,4229.415,4236.335,-7.12,7
2025-12-01 11:43,2025-12-01 11:50,LONG,4236.835,4234.635,-2.4,7
2025-12-01 12:21,2025-12-01 12:25,SHORT,4228.395,4232.025,-3.83,4
2025-12-01 13:04,2025-12-01 13:37,LONG,4234.815,4236.795,1.78,33
2025-12-01 14:21,2025-12-01 14:22,LONG,4239.255,4237.675,-1.78,1
2025-12-01 14:26,2025-12-01 14:43,LONG,4238.335,4238.455,-0.08,17
2025-12-01 15:20,2025-12-01 15:23,SHORT,4236.075,4238.275,-2.4,3
2025-12-01 15:27,2025-12-01 15:36,SHORT,4236.565,4237.885,-1.52,9
2025-12-01 18:22,2025-12-01 18:25,SHORT,4231.695,4233.045,-1.55,3
2025-12-01 18:36,2025-12-01 18:55,SHORT,4233.105,4229.825,3.08,19
2025-12-01 18:58,2025-12-01 19:13,SHORT,4227.475,4227.065,0.21,15
2025-12-01 19:18,2025-12-01 19:29,SHORT,4224.925,4225.605,-0.88,11
2025-12-01 19:50,2025-12-01 19:57,SHORT,4225.205,4227.798,-2.793,7
2025-12-01 20:01,2025-12-01 20:20,SHORT,4224.305,4213.325,10.78,19
2025-12-01 21:06,2025-12-01 21:08,SHORT,4215.625,4218.295,-2.87,2
2025-12-01 21:35,2025-12-01 21:59,LONG,4218.675,4220.195,1.32,24
2025-12-01 22:01,2025-12-01 22:25,LONG,4221.905,4224.245,2.14,24
2025-12-01 22:35,2025-12-01 22:40,LONG,4224.435,4222.458,-2.177,5
2025-12-01 23:11,2025-12-01 23:20,SHORT,4217.915,4218.625,-0.91,9
2025-12-01 23:25,2025-12-01 23:41,SHORT,4216.685,4217.025,-0.54,16
2025-12-02 00:05,2025-12-02 00:12,SHORT,4217.625,4218.748,-1.323,7
2025-12-02 00:39,2025-12-02 00:45,LONG,4222.365,4219.945,-2.62,6
2025-12-02 00:48,2025-12-02 01:15,LONG,4222.525,4223.635,0.91,27
2025-12-02 01:43,2025-12-02 01:44,SHORT,4206.895,4208.055,-1.36,1
2025-12-02 02:02,2025-12-02 02:07,SHORT,4210.345,4213.125,-2.98,5
2025-12-02 03:06,2025-12-02 03:13,SHORT,4210.135,4213.485,-3.55,7
2025-12-02 03:35,2025-12-02 03:36,LONG,4215.005,4215.125,-0.08,1
2025-12-02 03:40,2025-12-02 03:41,LONG,4216.435,4213.415,-3.22,1
2025-12-02 04:45,2025-12-02 04:53,SHORT,4190.355,4191.355,-1.2,8
2025-12-02 05:02,2025-12-02 05:25,SHORT,4190.815,4187.505,3.11,23
2025-12-02 05:33,2025-12-02 05:39,SHORT,4186.375,4187.555,-1.38,6
2025-12-02 05:48,2025-12-02 06:01,SHORT,4185.525,4187.305,-1.98,13
2025-12-02 06:17,2025-12-02 06:19,SHORT,4186.955,4188.695,-1.94,2
2025-12-02 07:26,2025-12-02 07:32,LONG,4205.095,4202.845,-2.45,6
2025-12-02 07:37,2025-12-02 07:46,LONG,4205.245,4204.045,-1.4,9
2025-12-02 07:49,2025-12-02 07:51,LONG,4205.345,4204.615,-0.93,2
2025-12-02 07:53,2025-12-02 08:09,LONG,4205.545,4206.465,0.72,16
