id,name,trades,win,net,gross,dd,avg,bars,skips,pos_years,y2022,y2023,y2024,y2025,score
S01,Engulfing,99085,29.2,-17892.84,1924.16,-5038.65,-0.181,7.8,83,0,-5038.34,-3681.91,-4904.12,-4268.47,-17892.84
S02,Pin bar,56988,27.5,-11273.35,124.25,-3381.1,-0.198,5.4,80,0,-2718.46,-2491.84,-2699.89,-3363.16,-11273.35
S03,Inside breakout,51967,28.2,-11302.38,-908.98,-3211.26,-0.217,7.6,60,0,-2956.94,-2402.45,-2772.96,-3170.03,-11302.38
S04,Outside reversal,55597,29.9,-10625.13,494.27,-2955.44,-0.191,10.0,43,0,-2952.18,-2470.32,-2618.0,-2584.63,-10625.13
S05,3-bar reversal,82460,28.5,-16307.95,184.05,-4377.82,-0.198,7.3,90,0,-4238.55,-3726.53,-4167.2,-4175.67,-16307.95
S06,3-candle momentum,122573,27.0,-26021.39,-1506.79,-7897.58,-0.212,5.6,245,0,-6417.92,-5256.9,-6511.96,-7834.61,-26021.39
S07,Breakout 5,126134,29.1,-26402.64,-1175.84,-7426.14,-0.209,8.6,107,0,-6733.49,-5632.17,-6692.98,-7344.0,-26402.64
S08,Breakout 20,76993,29.2,-16395.92,-997.32,-4565.9,-0.213,9.0,59,0,-4556.58,-3532.41,-4137.05,-4169.88,-16395.92
S09,Breakout 50,47877,29.4,-10602.58,-1027.18,-3017.5,-0.221,9.1,33,0,-3006.8,-2222.3,-2682.66,-2690.82,-10602.58
S10,Failed break 5,105657,28.9,-19529.58,1601.82,-5840.98,-0.185,6.8,93,0,-4919.05,-4234.78,-4655.93,-5719.82,-19529.58
S11,Failed break 20,68847,29.0,-12882.46,886.94,-3919.53,-0.187,7.0,62,0,-3171.25,-2793.62,-3066.65,-3850.94,-12882.46
S12,Candle sweep,107073,29.1,-20726.55,688.05,-5805.88,-0.194,7.7,89,0,-5214.42,-4540.13,-5311.47,-5660.53,-20726.55
S13,Double reversal,16798,28.0,-3396.59,-36.99,-923.71,-0.202,8.8,16,0,-906.36,-882.78,-917.94,-689.51,-3396.59
S14,Triple reversal,954,26.9,-183.63,7.17,-72.47,-0.192,9.9,0,0,-38.87,-71.65,-51.88,-21.23,-183.63
S15,Triangle,51779,27.2,-10075.51,280.29,-3047.41,-0.195,6.8,111,0,-3046.67,-2650.06,-2725.91,-1652.87,-10075.51
S16,Stepped trend,75004,27.9,-16382.6,-1381.8,-4855.0,-0.218,6.7,109,0,-4224.75,-3239.01,-4138.31,-4780.53,-16382.6
S17,Flag,1463,29.1,-260.05,32.55,-88.52,-0.178,8.7,1,0,-60.42,-81.95,-56.73,-60.95,-260.05
S18,Pennant,92,33.7,0.72,19.12,-8.59,0.008,5.4,1,2,0.93,-0.68,8.12,-7.65,0.72
S19,Double inside,3316,29.2,-634.46,28.74,-212.64,-0.191,8.0,2,0,-212.34,-120.56,-148.32,-153.24,-634.46
S20,Fakey,3466,30.0,-539.06,154.14,-215.15,-0.156,11.1,5,0,-205.43,-195.72,-52.52,-85.39,-539.06
S21,Harami,35071,27.7,-7206.91,-192.71,-2162.36,-0.205,6.3,71,0,-1767.28,-1429.01,-1867.49,-2143.13,-7206.91
S22,Piercing / cloud,60743,28.0,-11515.82,632.78,-3161.29,-0.19,5.4,63,0,-3037.02,-2417.73,-2961.17,-3099.9,-11515.82
S23,Tweezer,109128,28.2,-20119.55,1706.05,-5812.53,-0.184,6.8,122,0,-5809.6,-4915.61,-5280.41,-4113.93,-20119.55
S24,Full body,82116,29.5,-17076.84,-653.64,-4659.46,-0.208,10.0,52,0,-4512.01,-4086.43,-4646.24,-3832.16,-17076.84
S25,Range rejection,15269,29.1,-2965.39,88.41,-1064.49,-0.194,6.8,12,0,-648.13,-627.15,-656.65,-1033.46,-2965.39
S26,NR4,122479,28.1,-24649.15,-153.35,-6636.0,-0.201,6.8,156,0,-6145.0,-5459.67,-6499.64,-6544.84,-24649.15
S27,NR7,93721,28.0,-18028.46,715.74,-4862.96,-0.192,6.4,127,0,-4812.95,-4005.06,-4860.06,-4350.39,-18028.46
S28,Gap continuation,19324,24.2,-4143.85,-279.05,-1502.94,-0.214,5.5,136,0,-776.58,-1500.72,-1098.92,-767.63,-4143.85
S29,Compression,3316,29.2,-634.46,28.74,-212.64,-0.191,8.0,2,0,-212.34,-120.56,-148.32,-153.24,-634.46
S30,Break and retest,41350,26.8,-8938.1,-668.1,-2496.83,-0.216,5.5,38,0,-2489.72,-1757.41,-2402.62,-2288.35,-8938.1
