entry_time,exit_time,direction,entry,exit,sl,tp,lot,pnl,r_multiple,bars_held,exit_reason
2022-02-03 04:00:00,2022-02-03 05:15:00,LONG,1808.21,1806.21,,,0.1,-24.5,0.0,6,REV
2022-02-03 05:15:00,2022-02-03 11:15:00,SHORT,1806.21,1805.21,,,0.1,5.5,0.0,34,REV
2022-02-03 11:15:00,2022-02-03 11:45:00,LONG,1805.21,1803.71,,,0.1,-19.5,0.0,5,REV
2022-02-03 11:45:00,2022-02-03 13:45:00,SHORT,1803.71,1804.71,,,0.1,-14.5,0.0,14,REV
2022-02-03 13:45:00,2022-02-03 14:00:00,LONG,1804.71,1803.21,,,0.1,-19.5,0.0,3,REV
2022-02-03 14:00:00,2022-02-03 15:30:00,SHORT,1803.21,1802.71,,,0.1,0.5,0.0,27,REV
2022-02-03 15:30:00,2022-02-03 16:30:00,LONG,1802.71,1802.21,,,0.1,-9.5,0.0,17,REV
2022-02-03 16:30:00,2022-02-03 17:00:00,SHORT,1802.21,1793.21,,,0.1,85.5,0.0,36,REV
2022-02-03 17:00:00,2022-02-03 19:45:00,LONG,1793.21,1804.71,,,0.1,110.5,0.0,49,REV
2022-02-03 19:45:00,2022-02-03 21:00:00,SHORT,1804.71,1805.71,,,0.1,-14.5,0.0,12,REV
2022-02-03 21:00:00,2022-02-04 01:15:00,LONG,1805.71,1805.21,,,0.1,-9.5,0.0,15,REV
2022-02-04 01:15:00,2022-02-04 01:30:00,SHORT,1805.21,1805.71,,,0.1,-9.5,0.0,1,REV
2022-02-04 01:30:00,2022-02-04 10:00:00,LONG,1805.71,1807.21,,,0.1,10.5,0.0,37,REV
2022-02-04 10:00:00,2022-02-04 10:00:00,SHORT,1807.21,1807.71,,,0.1,-9.5,0.0,1,REV
2022-02-04 10:00:00,2022-02-04 13:30:00,LONG,1807.71,1810.71,,,0.1,25.5,0.0,30,REV
2022-02-04 13:30:00,2022-02-04 14:45:00,SHORT,1810.71,1812.21,,,0.1,-19.5,0.0,11,REV
2022-02-04 14:45:00,2022-02-04 15:30:00,LONG,1812.21,1810.71,,,0.1,-19.5,0.0,13,REV
2022-02-04 15:30:00,2022-02-04 16:00:00,SHORT,1810.71,1799.71,,,0.1,105.5,0.0,40,REV
2022-02-04 16:00:00,2022-02-04 16:15:00,LONG,1799.71,1800.21,,,0.1,0.5,0.0,17,REV
2022-02-04 16:15:00,2022-02-04 16:30:00,SHORT,1800.21,1802.21,,,0.1,-24.5,0.0,6,REV
2022-02-04 16:30:00,2022-02-04 17:00:00,LONG,1802.21,1802.21,,,0.1,-4.5,0.0,16,REV
2022-02-04 17:00:00,2022-02-04 17:00:00,SHORT,1802.21,1804.71,,,0.1,-29.5,0.0,5,REV
2022-02-04 17:00:00,2022-02-04 17:15:00,LONG,1804.71,1806.21,,,0.1,10.5,0.0,19,REV
2022-02-04 17:15:00,2022-02-04 17:30:00,SHORT,1806.21,1808.21,,,0.1,-24.5,0.0,6,REV
2022-02-04 17:30:00,2022-02-04 17:45:00,LONG,1808.21,1806.71,,,0.1,-19.5,0.0,5,REV
2022-02-04 17:45:00,2022-02-04 18:45:00,SHORT,1806.71,1806.21,,,0.1,0.5,0.0,19,REV
2022-02-04 18:45:00,2022-02-04 21:30:00,LONG,1806.21,1806.71,,,0.1,0.5,0.0,27,REV
2022-02-04 21:30:00,2022-02-04 21:45:00,SHORT,1806.71,1807.21,,,0.1,-9.5,0.0,1,REV
2022-02-04 21:45:00,2022-02-04 22:00:00,LONG,1807.21,1806.71,,,0.1,-9.5,0.0,1,REV
2022-02-04 22:00:00,2022-02-04 22:15:00,SHORT,1806.71,1807.21,,,0.1,-9.5,0.0,1,REV
2022-02-04 22:15:00,2022-02-07 03:30:00,LONG,1807.21,1809.71,,,0.1,20.5,0.0,31,REV
2022-02-07 03:30:00,2022-02-07 09:15:00,SHORT,1809.71,1811.21,,,0.1,-19.5,0.0,25,REV
2022-02-07 09:15:00,2022-02-07 10:30:00,LONG,1811.21,1810.71,,,0.1,-9.5,0.0,11,REV
2022-02-07 10:30:00,2022-02-07 10:30:00,SHORT,1810.71,1811.71,,,0.1,-14.5,0.0,2,REV
2022-02-07 10:30:00,2022-02-07 12:15:00,LONG,1811.71,1811.21,,,0.1,-9.5,0.0,19,REV
2022-02-07 12:15:00,2022-02-07 13:30:00,SHORT,1811.21,1812.71,,,0.1,-19.5,0.0,9,REV
2022-02-07 13:30:00,2022-02-07 15:45:00,LONG,1812.71,1813.71,,,0.1,5.5,0.0,24,REV
2022-02-07 15:45:00,2022-02-07 16:00:00,SHORT,1813.71,1815.21,,,0.1,-19.5,0.0,11,REV
2022-02-07 16:00:00,2022-02-07 17:00:00,LONG,1815.21,1813.21,,,0.1,-24.5,0.0,12,REV
2022-02-07 17:00:00,2022-02-07 17:15:00,SHORT,1813.21,1814.71,,,0.1,-19.5,0.0,7,REV
2022-02-07 17:15:00,2022-02-08 01:30:00,LONG,1814.71,1820.71,,,0.1,55.5,0.0,46,REV
2022-02-08 01:30:00,2022-02-08 02:00:00,SHORT,1820.71,1821.71,,,0.1,-14.5,0.0,2,REV
2022-02-08 02:00:00,2022-02-08 02:45:00,LONG,1821.71,1820.71,,,0.1,-14.5,0.0,2,REV
2022-02-08 02:45:00,2022-02-08 03:30:00,SHORT,1820.71,1821.71,,,0.1,-14.5,0.0,4,REV
2022-02-08 03:30:00,2022-02-08 07:00:00,LONG,1821.71,1821.21,,,0.1,-9.5,0.0,15,REV
2022-02-08 07:00:00,2022-02-08 10:30:00,SHORT,1821.21,1819.21,,,0.1,15.5,0.0,28,REV
2022-02-08 10:30:00,2022-02-08 11:30:00,LONG,1819.21,1818.21,,,0.1,-14.5,0.0,8,REV
2022-02-08 11:30:00,2022-02-08 11:45:00,SHORT,1818.21,1818.71,,,0.1,-9.5,0.0,1,REV
2022-02-08 11:45:00,2022-02-08 13:15:00,LONG,1818.71,1818.21,,,0.1,-9.5,0.0,9,REV
2022-02-08 13:15:00,2022-02-08 15:00:00,SHORT,1818.21,1819.21,,,0.1,-14.5,0.0,10,REV
2022-02-08 15:00:00,2022-02-08 16:45:00,LONG,1819.21,1821.21,,,0.1,15.5,0.0,24,REV
2022-02-08 16:45:00,2022-02-08 17:00:00,SHORT,1821.21,1822.71,,,0.1,-19.5,0.0,5,REV
2022-02-08 17:00:00,2022-02-08 23:00:00,LONG,1822.71,1827.21,,,0.1,40.5,0.0,45,REV
2022-02-08 23:00:00,2022-02-09 04:15:00,SHORT,1827.21,1827.21,,,0.1,-4.5,0.0,16,REV
2022-02-09 04:15:00,2022-02-09 08:30:00,LONG,1827.21,1826.71,,,0.1,-9.5,0.0,17,REV
2022-02-09 08:30:00,2022-02-09 09:15:00,SHORT,1826.71,1828.21,,,0.1,-19.5,0.0,3,REV
2022-02-09 09:15:00,2022-02-09 09:30:00,LONG,1828.21,1826.71,,,0.1,-19.5,0.0,3,REV
2022-02-09 09:30:00,2022-02-09 10:15:00,SHORT,1826.71,1828.21,,,0.1,-19.5,0.0,5,REV
2022-02-09 10:15:00,2022-02-09 10:30:00,LONG,1828.21,1826.71,,,0.1,-19.5,0.0,3,REV
2022-02-09 10:30:00,2022-02-09 10:45:00,SHORT,1826.71,1827.71,,,0.1,-14.5,0.0,2,REV
2022-02-09 10:45:00,2022-02-09 10:45:00,LONG,1827.71,1827.21,,,0.1,-9.5,0.0,1,REV
