entry_time,exit_time,side,entry_price,exit_price,exit_reason,zone_touches,entry_spread,gross,cost,net,balance,duration_s
2024-01-02T06:01:00.398000+00:00,2024-01-02T06:02:50.806000+00:00,1,2074.685,2073.745,zone_reverse,6,0.3,-0.94,0.09,-1.03,998.97,110.4
2024-01-02T06:07:20.806000+00:00,2024-01-02T06:09:05.506000+00:00,-1,2073.645,2073.535,zone_reverse,6,0.29,0.11,0.09,0.02,998.99,104.7
2024-01-02T06:09:44.660000+00:00,2024-01-02T06:10:22.045000+00:00,1,2073.885,2073.815,zone_reverse,5,0.34,-0.07,0.09,-0.16,998.83,37.4
2024-01-02T06:11:57.680000+00:00,2024-01-02T06:12:08.565000+00:00,1,2074.915,2074.725,zone_reverse,5,0.36,-0.19,0.09,-0.28,998.55,10.9
2024-01-02T06:12:20.298000+00:00,2024-01-02T06:12:25.389000+00:00,-1,2074.225,2074.445,zone_reverse,6,0.34,-0.22,0.09,-0.31,998.24,5.1
2024-01-02T06:13:07.179000+00:00,2024-01-02T06:13:52.723000+00:00,1,2074.775,2074.594,zone_reverse,6,0.32,-0.181,0.09,-0.271,997.97,45.5
2024-01-02T06:15:25.475000+00:00,2024-01-02T06:16:54.712000+00:00,-1,2074.535,2074.925,zone_reverse,9,0.32,-0.39,0.09,-0.48,997.49,89.2
2024-01-02T06:19:14.046000+00:00,2024-01-02T06:20:19.693000+00:00,1,2074.905,2074.965,zone_reverse,5,0.33,0.06,0.09,-0.03,997.46,65.6
2024-01-02T06:22:08.194000+00:00,2024-01-02T06:22:16.460000+00:00,1,2076.685,2076.495,zone_reverse,6,0.29,-0.19,0.09,-0.28,997.18,8.3
2024-01-02T06:23:32.597000+00:00,2024-01-02T06:24:11.586000+00:00,-1,2076.005,2075.875,zone_reverse,6,0.387,0.13,0.09,0.04,997.22,39.0
2024-01-02T06:25:47.167000+00:00,2024-01-02T06:25:59.470000+00:00,-1,2074.725,2074.975,zone_reverse,7,0.33,-0.25,0.09,-0.34,996.88,12.3
2024-01-02T06:27:29.996000+00:00,2024-01-02T06:28:12.975000+00:00,1,2075.295,2075.515,zone_reverse,7,0.28,0.22,0.09,0.13,997.01,43.0
2024-01-02T06:30:06.266000+00:00,2024-01-02T06:30:29.336000+00:00,1,2076.355,2076.065,zone_reverse,5,0.29,-0.29,0.09,-0.38,996.63,23.1
2024-01-02T06:30:43.689000+00:00,2024-01-02T06:31:47.923000+00:00,-1,2075.895,2076.735,zone_reverse,5,0.3,-0.84,0.09,-0.93,995.7,64.2
2024-01-02T06:32:22.429000+00:00,2024-01-02T06:32:39.289000+00:00,-1,2075.985,2076.655,zone_reverse,10,0.33,-0.67,0.09,-0.76,994.94,16.9
2024-01-02T06:33:20.790000+00:00,2024-01-02T06:33:51.436000+00:00,-1,2076.015,2076.465,zone_reverse,6,0.37,-0.45,0.09,-0.54,994.4,30.6
2024-01-02T06:34:01.860000+00:00,2024-01-02T06:34:25.675000+00:00,-1,2075.955,2076.265,zone_reverse,5,0.38,-0.31,0.09,-0.4,994.0,23.8
2024-01-02T06:36:19.705000+00:00,2024-01-02T06:37:40.015000+00:00,-1,2075.535,2075.215,zone_reverse,7,0.32,0.32,0.09,0.23,994.23,80.3
2024-01-02T06:38:44.504000+00:00,2024-01-02T06:39:24.276000+00:00,1,2075.355,2075.105,zone_reverse,6,0.3,-0.25,0.09,-0.34,993.89,39.8
2024-01-02T06:41:15.047000+00:00,2024-01-02T06:42:00.348000+00:00,1,2075.575,2075.385,zone_reverse,5,0.33,-0.19,0.09,-0.28,993.61,45.3
2024-01-02T06:44:42.164000+00:00,2024-01-02T06:45:31.705000+00:00,-1,2074.945,2075.235,zone_reverse,10,0.29,-0.29,0.09,-0.38,993.23,49.5
2024-01-02T06:47:48.281000+00:00,2024-01-02T06:48:13.149000+00:00,1,2075.165,2074.965,zone_reverse,5,0.29,-0.2,0.09,-0.29,992.94,24.9
